epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,17749.4,0.69736,0.32266,0.77778,0.93648,0.72156,0.80049,0.55794,0.78242,0.38782,0.78564,0.000359,0.000359,0.000359
74,17971.6,0.72831,0.33547,0.78003,0.92181,0.74904,0.81431,0.56651,0.7504,0.38287,0.78379,0.000346625,0.000346625,0.000346625
75,18214,0.69987,0.32712,0.77828,0.94359,0.72203,0.81151,0.58183,0.75165,0.37867,0.78553,0.00033425,0.00033425,0.00033425
76,18462.1,0.68377,0.32127,0.77732,0.95703,0.73332,0.8148,0.56873,0.75149,0.3753,0.78451,0.000321875,0.000321875,0.000321875
77,18720.4,0.69689,0.32226,0.77844,0.93373,0.73718,0.80728,0.57349,0.76286,0.37472,0.78566,0.0003095,0.0003095,0.0003095
78,18919.7,0.69652,0.32636,0.77722,0.94556,0.72247,0.79956,0.56934,0.75203,0.37524,0.7846,0.000297125,0.000297125,0.000297125
79,19150.6,0.68424,0.32223,0.77628,0.90898,0.74315,0.81747,0.58033,0.75134,0.3761,0.7841,0.00028475,0.00028475,0.00028475
80,19415,0.68181,0.31893,0.77647,0.93519,0.70706,0.79814,0.55402,0.75964,0.39038,0.78467,0.000272375,0.000272375,0.000272375
81,19640.3,0.67413,0.31863,0.77706,0.92936,0.73622,0.80271,0.56938,0.78866,0.39023,0.78632,0.00026,0.00026,0.00026
82,19871.4,0.66453,0.31219,0.77549,0.95,0.73072,0.80795,0.57409,0.74056,0.36968,0.78406,0.000247625,0.000247625,0.000247625
83,20077,0.65927,0.31259,0.77731,0.9415,0.70129,0.79832,0.56988,0.74304,0.37556,0.78398,0.00023525,0.00023525,0.00023525
84,20310.8,0.67006,0.31234,0.77557,0.94188,0.74584,0.8196,0.58165,0.7433,0.3709,0.78444,0.000222875,0.000222875,0.000222875
85,20525.6,0.66698,0.31216,0.77375,0.93001,0.74497,0.80862,0.57931,0.74541,0.36787,0.78473,0.0002105,0.0002105,0.0002105
86,20738,0.64669,0.30409,0.77592,0.92256,0.74388,0.80964,0.5769,0.73714,0.36707,0.7838,0.000198125,0.000198125,0.000198125
87,20954.1,0.65641,0.30989,0.77492,0.9368,0.73619,0.80666,0.56738,0.73829,0.36737,0.7841,0.00018575,0.00018575,0.00018575
88,21186.3,0.66798,0.3102,0.77491,0.92489,0.74528,0.80425,0.56963,0.72444,0.36317,0.78351,0.000173375,0.000173375,0.000173375
89,21501,0.63868,0.30125,0.77401,0.95474,0.73353,0.80999,0.57681,0.73991,0.36708,0.78455,0.000161,0.000161,0.000161
90,21805.7,0.64097,0.30092,0.77555,0.94946,0.72872,0.8251,0.58916,0.7432,0.36297,0.78412,0.000148625,0.000148625,0.000148625
91,22069.6,0.60955,0.29779,0.77303,0.94739,0.75873,0.81961,0.57442,0.73111,0.36379,0.78239,0.00013625,0.00013625,0.00013625
92,22360.9,0.59815,0.29454,0.7741,0.94884,0.70882,0.80346,0.56546,0.73627,0.36426,0.78352,0.000123875,0.000123875,0.000123875
93,22627.4,0.59986,0.29032,0.77591,0.93857,0.75404,0.80866,0.55687,0.74409,0.36494,0.78344,0.0001115,0.0001115,0.0001115
94,22845.2,0.58213,0.28679,0.77359,0.90369,0.74668,0.81471,0.56371,0.74834,0.36612,0.78455,9.9125e-05,9.9125e-05,9.9125e-05
95,23096,0.58642,0.28483,0.77137,0.8967,0.73172,0.8084,0.56744,0.74336,0.3716,0.78377,8.675e-05,8.675e-05,8.675e-05
96,23316.2,0.57701,0.28212,0.7732,0.92786,0.72326,0.80751,0.56456,0.73243,0.36504,0.78342,7.4375e-05,7.4375e-05,7.4375e-05
97,23539.1,0.5672,0.27918,0.77123,0.93352,0.73174,0.80716,0.56861,0.72681,0.36081,0.78311,6.2e-05,6.2e-05,6.2e-05
98,23770.7,0.5578,0.27537,0.77323,0.92458,0.7288,0.81282,0.57309,0.72862,0.36211,0.78385,4.9625e-05,4.9625e-05,4.9625e-05
99,23976.7,0.57682,0.27953,0.77192,0.93728,0.71486,0.8148,0.57906,0.73249,0.36678,0.78329,3.725e-05,3.725e-05,3.725e-05
100,24163.3,0.56209,0.27592,0.77079,0.91744,0.72044,0.81877,0.57422,0.72898,0.36131,0.78334,2.4875e-05,2.4875e-05,2.4875e-05
